Marque;"Libellé modèle";Modèle;Groupe;"Description Commerciale";Energie;Carrosserie;Cylindrée;Gamme;"Puissance fiscale";"Puissance maximale";"Puissance nominale électrique";"Poids à vide";"Rapport poids-puissance";"Type de boite";"Nombre rapports";"Conso basse vitesse Min";"Conso basse vitesse Max";"Conso moyenne vitesse Min";"Conso moyenne vitesse Max";"Conso haute vitesse Min";"Conso haute vitesse Max";"Conso T-haute vitesse Min";"Conso T-haute vitesse Max";"Conso vitesse mixte Min";"Conso vitesse mixte Max";"Conso elec Min";"Conso elec Max";"Autonomie elec Min";"Autonomie elec Max";"Autonomie elec urbain Min";"Autonomie elec urbain Max";"CO2 basse vitesse Min";"CO2 basse vitesse Max";"CO2 moyenne vitesse Min";"CO2 moyenne vitesse Max";"CO2 haute vitesse Min";"CO2 haute vitesse Max";"CO2 T-haute vitesse Min";"CO2 T-haute vitesse Max";"CO2 vitesse mixte Min";"CO2 vitesse mixte Max";"Essai CO2 type 1";"Essai HC";"Essai Nox";"Essai HCNox";"Essai particules";"Masse OM Min";"Masse OM Max";Bonus-Malus;"Barème Bonus-Malus";"Prix véhicule"
B.M.W.;"X4 M";X4;AUTRES;"X4 M CompÃ©tition";ESSENCE;"TS TERRAINS/CHEMINS";2993;SUPERIEURE;41;375,000;;2010;0,19;AUTOMATIQUE;8;15,321;16,280;10,614;10,952;8,801;9,379;9,992;10,556;10,461;11,036;;;;;;;348,64;370,39;241,49;249,09;200,19;213,28;227,32;240,07;238,00;251,00;0,152;0,009;0,013;;;2085;2085;Malus;42850;111350
B.M.W.;"SERIE 4";420;AUTRES;"420d Gran Coupe";"GAZ+ELEC HNR";BERLINE;1995;"MOYENNE SUPERIEURE";10;140,000;;1705;0,08;AUTOMATIQUE;8;6,167;6,649;4,631;5,300;4,252;4,905;4,814;5,617;4,784;5,470;;;;;;;161,59;174,22;121,30;138,84;111,35;128,47;126,10;147,15;125,30;143,30;0,112;;0,017;0,045;;1780;1780;Malus;11904;56383
B.M.W.;"SERIE 2";220;AUTRES;"220i Gran CoupÃ©";ESSENCE;BERLINE;1998;"MOYENNE INFERIEURE";9;131,000;;1430;0,09;AUTOMATIQUE;7;9,169;9,172;6,027;6,825;4,934;5,902;5,446;7,220;5,902;6,993;;;;;;;209,40;209,41;137,55;155,75;112,55;134,66;124,27;164,78;134,70;159,60;0,156;0,017;0,011;;;1505;1505;Malus;818;44133
PEUGEOT;2008;2008;AUTRES;"2008 (130ch)";GAZOLE;"TS TERRAINS/CHEMINS";1499;INFERIEURE;7;96,000;;1270;0,08;AUTOMATIQUE;8;5,567;5,724;4,569;5,111;4,236;4,820;5,239;5,995;4,837;5,417;;;;;;;146,00;150,11;119,79;134,04;111,06;126,39;137,38;157,23;126,83;142,05;0,050;;0,053;0,058;;1345;1345;Malus;210;33203
KIA;SORENTO;SORENTO;HYUNDAI;"SORENTO 1.6T-GDi (180ch) / Electrique (60ch) BVA6 4x2 SystÃ¨me hybride (230ch) - 5PL 17''";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1598;SUPERIEURE;10;132,200;14,700;1741;0,08;AUTOMATIQUE;6;6,238;7,625;5,676;6,053;5,712;6,197;7,424;7,376;6,382;6,776;;;;;;;141,72;173,33;128,95;137,55;129,76;140,84;168,70;167,65;145,00;154,00;0,118;0,012;0,008;;;1816;1816;Malus;12078;50520
FORD;FIESTA;FIESTA;FORD;"FIESTA 1.0 Flexifuel (95ch) S&S BVM6";SUPERETHANOL;BERLINE;999;INFERIEURE;5;69,900;;1114;0,06;MECANIQUE;6;8,870;10,145;6,612;7,847;6,035;7,363;7,505;8,962;7,052;8,399;;;;;;;145,35;166,21;108,30;128,48;98,82;120,55;122,96;146,78;115,51;137,55;0,393;0,037;0,011;;;1189;1307;"Neutre 0";;23090
SKODA;KAROQ;KAROQ;VGF;"Karoq Ambition 2.0 TDI (116ch) DSG7 4x2 classe A";GAZOLE;"TS TERRAINS/CHEMINS";1968;"MOYENNE SUPERIEURE";6;85,000;;1417;0,06;AUTOMATIQUE;7;6,360;6,884;4,360;5,113;3,855;4,692;4,586;5,797;4,551;5,461;;;;;;;166,78;180,53;114,28;134,05;101,05;123,00;120,23;152,00;119,30;143,20;0,025;;0,036;0,059;;1492;1492;Malus;75;39098
DACIA;JOGGER;JOGGER;RENAULT;"JOGGER (101ch)";ESS+G.P.L.;BREAK;999;INFERIEURE;5;67,000;;1223;0,06;MECANIQUE;6;7,328;7,529;5,491;5,693;5,157;5,357;6,435;6,820;5,968;6,234;;;;;;;165,22;169,84;123,60;128,25;116,04;120,64;145,00;153,79;134,40;140,50;0,438;0,049;0,021;;;1298;1337;"Neutre 0";;19148
DACIA;JOGGER;JOGGER;RENAULT;"JOGGER (101ch)";ESS+G.P.L.;BREAK;999;INFERIEURE;5;74,000;;1223;0,06;MECANIQUE;6;9,372;9,383;7,003;7,314;6,628;7,018;8,204;8,660;7,629;7,976;;;;;;;146,16;146,31;109,12;113,95;103,26;109,32;127,90;134,99;117,55;122,95;0,417;0,027;0,025;;;1298;1337;"Neutre 0";;19148
MINI;MINI;MINI;B.M.W.;"MINI Cooper Hatch 3P (F56)";ESSENCE;BERLINE;1499;INFERIEURE;7;100,000;;1150;0,09;MECANIQUE;6;7,636;7,914;5,264;6,111;4,652;5,513;5,357;6,667;5,424;6,364;;;;;;;173,36;179,78;119,36;138,74;105,42;125,12;121,47;151,41;123,00;144,50;0,288;0,018;0,012;;;1225;1225;"Neutre 0";;28857
MINI;MINI;CABRIO;B.M.W.;"MINI Cooper Cabrio (F57)";ESSENCE;CABRIOLET;1499;INFERIEURE;7;100,000;;1285;0,08;AUTOMATIQUE;7;7,726;8,231;5,369;6,121;4,581;5,517;5,361;6,685;5,437;6,416;;;;;;;175,61;187,03;121,95;138,99;104,02;125,23;121,76;151,83;123,50;145,70;0,200;0,019;0,010;;0,001;1360;1360;Malus;240;36733
JEEP;COMPASS;COMPASS;STELLANTIS;"1.5 Turbo T4 (130ch) BVR7 Longitude/Longitude Business/Night Eagle/Limited/High Altitude/S";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1469;"MOYENNE SUPERIEURE";7;96,000;8,000;1500;0,06;MECANIQUE;7;4,716;5,008;5,453;6,003;5,121;5,430;6,627;7,176;5,669;6,110;;;;;;;107,23;113,83;124,07;136,55;116,48;123,46;150,87;163,33;129,00;139,00;0,280;0,041;0,013;;;1575;1575;Malus;11906;40333
M.G.;"MG ZS";ZS;AUTRES;"ZS - 1.5L VTI-Tech (106ch) BVM5";ESSENCE;"TS TERRAINS/CHEMINS";1498;"MOYENNE INFERIEURE";5;78,000;;1215;0,06;MECANIQUE;5;;7,691;;6,017;;5,732;;7,313;;6,612;;;;;;;;173,39;;135,55;;129,12;;164,86;;149,00;0,218;0,028;0,019;;;1290;1314;Malus;898;17990
RENAULT;CAPTUR;CAPTUR;RENAULT;"CAPTUR (91ch)";ESSENCE;"TS TERRAINS/CHEMINS";999;INFERIEURE;5;67,000;;1221;0,05;MECANIQUE;6;6,729;7,194;5,283;5,771;4,922;5,337;6,220;6,757;5,697;6,177;;;;;;;151,96;162,50;119,20;130,27;111,02;120,42;140,43;152,61;128,57;139,45;0,244;0,047;0,047;;;1296;1296;Malus;170;24867
VOLVO;XC90;XC90;GEELY;"XC90 B5 Diesel AWD 7PL";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";1969;LUXE;13;173,000;8,000;2095;0,08;AUTOMATIQUE;8;8,231;8,976;6,599;7,525;5,627;6,744;6,649;7,868;6,535;7,599;;;;;;;215,51;235,14;172,68;197,05;147,19;176,56;174,01;206,05;171,00;199,00;0,254;;0,043;0,071;0,001;2170;2170;Malus;15654;91530
B.M.W.;"SERIE 2";220;AUTRES;"220i Gran CoupÃ©";ESSENCE;BERLINE;1998;"MOYENNE INFERIEURE";9;131,000;;1430;0,09;AUTOMATIQUE;7;9,169;9,172;6,027;6,825;4,934;5,902;5,446;7,220;5,902;6,993;;;;;;;209,40;209,41;137,55;155,75;112,55;134,66;124,27;164,78;134,70;159,60;0,156;0,017;0,011;;;1505;1505;Malus;650;44133
B.M.W.;"SERIE 2";218;AUTRES;"218d Active Tourer";GAZOLE;"MONOSPACE COMPACT";1995;"MOYENNE INFERIEURE";8;110,000;;1545;0,07;AUTOMATIQUE;7;6,622;7,113;4,654;5,167;3,994;4,570;4,735;5,402;4,741;5,326;;;;;;;173,50;186,36;121,91;135,35;104,62;119,69;124,03;141,51;124,20;139,50;0,050;;0,041;0,047;;1620;1620;Malus;125;38888
B.M.W.;"SERIE 8";840;AUTRES;"840d xDrive Gran CoupÃ©";"GAZ+ELEC HNR";BERLINE;2993;LUXE;22;250,000;;1995;0,13;AUTOMATIQUE;8;9,726;10,466;5,871;6,653;5,123;5,932;5,693;6,659;6,090;6,940;;;;;;;254,98;274,41;153,85;174,35;134,22;155,45;149,18;174,52;159,60;181,90;0,102;;0,031;0,052;0,002;2070;2070;Malus;14647;81610
CITROEN;C3;C3;STELLANTIS;"C3 (83ch)";ESSENCE;BERLINE;1199;INFERIEURE;4;61,000;;980;0,06;MECANIQUE;5;5,990;6,286;4,954;5,330;4,654;5,029;5,655;6,269;5,248;5,697;;;;;;;134,94;141,49;111,45;119,83;104,65;113,01;127,34;141,10;118,12;128,16;0,541;0,033;0,014;;;1055;1055;"Neutre 0";;19013
B.M.W.;"SERIE 1";118;AUTRES;118i;ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";7;100,000;;1320;0,08;AUTOMATIQUE;7;8,092;8,676;5,516;6,400;4,693;5,896;5,435;7,138;5,577;6,809;;;;;;;184,61;197,89;125,72;145,84;106,89;134,31;123,87;162,71;127,10;155,20;0,273;0,023;0,015;;;1395;1395;Malus;125;37510
HONDA;CR-V;CR-V;AUTRES;"CR-V (145ch+65Kw)";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1993;"MOYENNE SUPERIEURE";8;107,000;65,000;1610;0,07;AUTOMATIQUE;1;7,160;7,450;5,001;5,278;5,603;5,862;8,246;8,672;6,625;6,951;;;;;;;162,48;169,06;113,45;119,72;127,11;132,99;187,14;196,80;150,32;157,71;0,088;0,007;0,009;;;1685;1740;Malus;11925;42907
"ALFA ROMEO";GIULIA;GIULIA;STELLANTIS;"GIULIA 2.2 Diesel (160ch) AT8";GAZOLE;BERLINE;2143;SUPERIEURE;8;118,000;;1465;0,08;AUTOMATIQUE;8;6,890;7,318;4,939;5,537;4,069;4,715;4,542;5,259;4,790;5,422;;;;;;;180,57;191,82;129,40;145,12;106,60;123,55;119,00;137,82;125,50;142,10;0,048;;0,041;0,044;;1570;1570;"Neutre 0";;46350
B.M.W.;"SERIE 1";118;AUTRES;118i;ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";7;100,000;;1320;0,08;AUTOMATIQUE;7;8,092;8,676;5,516;6,400;4,693;5,896;5,435;7,138;5,577;6,809;;;;;;;184,61;197,89;125,72;145,84;106,89;134,31;123,87;162,71;127,10;155,20;0,273;0,023;0,015;;;1395;1395;Malus;310;37510
RENAULT;KANGOO;KANGOO;RENAULT;"KANGOO (130ch)";ESSENCE;COMBISPACE;1332;INFERIEURE;7;96,000;;1475;0,07;MECANIQUE;6;8,030;8,558;6,276;6,977;5,689;6,658;7,091;8,665;6,618;7,688;;;;;;;181,83;193,77;142,02;157,88;128,70;150,63;160,53;196,18;149,78;174,01;0,291;0,012;0,011;;;1550;1550;Malus;1761;28900
CITROEN;E-BERLINGO;BERLINGO;STELLANTIS;"e-BERLINGO XL (57Kw)";ELECTRIC;COMBISPACE;0;INFERIEURE;4;;57,000;1738;0,00;"VARIATION ELECTRIQUE";1;;;;;;;;;;;186,700;227,000;293,000;245,000;433,000;346,100;;;;;;;;;;;;;;;;1813;1813;"Bonus 4000";-6000;39150
B.M.W.;"SERIE 1";120;AUTRES;120i;ESSENCE;BERLINE;1998;"MOYENNE INFERIEURE";9;131,000;;1390;0,09;AUTOMATIQUE;7;9,169;9,172;6,027;6,825;4,934;5,902;5,446;7,220;5,902;6,993;;;;;;;209,40;209,41;137,55;155,75;112,55;134,66;124,27;164,78;134,70;159,60;0,156;0,017;0,011;;;1465;1465;Malus;818;41488
RENAULT;"ARKANA E-TECH";ARKANA;RENAULT;"ARKANA (94ch+24Kw)";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1598;"MOYENNE INFERIEURE";5;69,000;24,000;1435;0,05;AUTOMATIQUE;6;4,565;5,148;4,352;4,330;4,192;4,366;5,448;5,699;4,720;4,936;;;;;;;102,78;116,10;97,96;97,57;94,34;98,40;122,80;128,61;106,30;111,30;0,380;0,018;0,006;;;1510;1510;"Neutre 0";11900;35656
RENAULT;KANGOO;KANGOO;RENAULT;"KANGOO (130ch)";ESSENCE;COMBISPACE;1332;INFERIEURE;7;96,000;;1519;0,06;AUTOMATIQUE;7;8,461;9,020;6,372;7,204;5,681;6,695;6,990;8,845;6,656;7,871;;;;;;;191,87;204,52;144,41;163,26;128,69;151,70;158,44;200,55;150,86;178,42;0,234;0,012;0,022;;0,001;1594;1594;Malus;1761;31000
B.M.W.;"SERIE 4";420;AUTRES;"420i Gran Coupe";ESSENCE;BERLINE;1998;"MOYENNE SUPERIEURE";10;135,000;;1620;0,08;AUTOMATIQUE;8;9,556;9,999;6,655;7,346;5,638;6,535;6,193;7,342;6,564;7,448;;;;;;;217,23;227,18;151,18;166,78;128,01;148,32;140,66;166,70;149,10;169,10;0,255;0,022;0,014;;;1695;1695;Malus;1386;53833
B.M.W.;"SERIE X";X2;AUTRES;"X2 xDrive18d";GAZOLE;"TS TERRAINS/CHEMINS";1995;"MOYENNE SUPERIEURE";8;110,000;;1605;0,07;AUTOMATIQUE;8;6,616;7,414;5,340;6,214;4,834;5,464;5,396;6,111;5,374;6,106;;;;;;;173,39;194,31;139,91;162,84;126,65;143,15;141,38;160,12;140,80;160,00;0,071;;0,021;0,056;;1680;1680;Malus;1074;47717
B.M.W.;"SERIE 1";118;AUTRES;118i;ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";7;100,000;;1320;0,08;AUTOMATIQUE;7;8,092;8,676;5,516;6,400;4,693;5,896;5,435;7,138;5,577;6,809;;;;;;;184,61;197,89;125,72;145,84;106,89;134,31;123,87;162,71;127,10;155,20;0,273;0,023;0,015;;;1395;1395;Malus;240;37510
B.M.W.;"SERIE 4";440;AUTRES;"M440i xDrive Cabriolet";"ESS+ELEC HNR";CABRIOLET;2998;"MOYENNE SUPERIEURE";26;275,000;;1890;0,15;AUTOMATIQUE;8;11,727;12,325;7,898;8,752;6,601;7,320;7,063;7,991;7,712;8,516;;;;;;;268,00;281,68;180,46;199,98;150,80;167,24;161,36;182,59;176,20;194,60;0,059;0,013;0,010;;;1965;1965;Malus;13605;77150
B.M.W.;"SERIE 5";518;AUTRES;"518d Touring";"GAZ+ELEC HNR";BREAK;1995;LUXE;8;110,000;;1755;0,06;AUTOMATIQUE;8;6,293;6,677;5,054;5,860;4,438;5,117;4,954;5,933;4,994;5,766;;;;;;;164,77;174,79;132,28;153,36;116,13;133,89;129,66;155,28;130,70;150,90;0,095;;0,021;0,050;;1830;1830;Malus;12208;57613
HYUNDAI;"SANTA FE";"SANTA FE";HYUNDAI;"SANTA FE 1.6 T-GDi Hybrid (230ch) BVA6 Intuitive";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1598;"MOYENNE SUPERIEURE";10;132,200;14,700;1780;0,07;AUTOMATIQUE;6;6,720;6,851;5,421;5,834;5,331;5,894;7,846;8,429;6,426;6,908;;;;;;;152,67;155,70;123,13;132,56;121,07;133,92;178,31;191,60;146,00;157,00;0,125;0,013;0,010;;;1855;1855;Malus;12480;49683
TOYOTA;YARIS;YARIS;TOYOTA;"Yaris 1.0L (70ch) VVT-i Dynamic Business RDS + Pack. Design RDS + Pack";ESSENCE;BERLINE;998;INFERIEURE;4;53,000;;960;0,06;MECANIQUE;5;6,168;6,569;4,921;5,143;4,793;5,076;6,294;6,857;5,534;5,920;;;;;;;140,17;149,27;111,71;116,76;108,80;115,22;143,03;155,83;125,71;134,47;0,306;0,034;0,025;;;1035;1035;Malus;100;19483
FORD;FIESTA;FIESTA;FORD;"FIESTA 1.0 Flexifuel (95ch) S&S BVM6";SUPERETHANOL;BERLINE;999;INFERIEURE;5;69,900;;1114;0,06;MECANIQUE;6;8,870;10,145;6,612;7,847;6,035;7,363;7,505;8,962;7,052;8,399;;;;;;;145,35;166,21;108,30;128,48;98,82;120,55;122,96;146,78;115,51;137,55;0,393;0,037;0,011;;;1189;1307;"Neutre 0";;23090
RENAULT;CAPTUR;CAPTUR;RENAULT;"CAPTUR (140ch+0Kw)";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1332;INFERIEURE;7;103,000;;1298;0,08;AUTOMATIQUE;7;7,536;7,901;5,565;6,071;4,913;5,405;6,092;6,688;5,813;6,328;;;;;;;170,50;178,74;125,72;137,15;110,92;122,02;137,70;151,17;131,37;143,00;0,473;0,012;0,028;;;1373;1373;Malus;11906;27325
PEUGEOT;2008;2008;AUTRES;"2008 (130ch)";GAZOLE;"TS TERRAINS/CHEMINS";1499;INFERIEURE;7;96,000;;1270;0,08;AUTOMATIQUE;8;5,586;5,855;4,569;4,860;4,131;4,435;5,261;5,792;4,815;5,192;;;;;;;146,52;153,61;119,83;127,49;108,34;116,34;138,01;151,95;126,29;136,21;0,067;;0,070;0,076;;1345;1345;Malus;150;33203
B.M.W.;"SERIE 1";118;AUTRES;118i;ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";7;100,000;;1320;0,08;AUTOMATIQUE;7;8,092;8,676;5,516;6,400;4,693;5,896;5,435;7,138;5,577;6,809;;;;;;;184,61;197,89;125,72;145,84;106,89;134,31;123,87;162,71;127,10;155,20;0,273;0,023;0,015;;;1395;1395;Malus;240;37510
B.M.W.;"SERIE 4";420;AUTRES;"420d Coupe";"GAZ+ELEC HNR";COUPE;1995;"MOYENNE SUPERIEURE";10;140,000;;1605;0,09;AUTOMATIQUE;8;5,836;6,361;4,446;5,212;3,983;4,829;4,533;5,557;4,519;5,369;;;;;;;152,95;166,73;116,47;136,58;104,34;126,51;118,76;145,62;118,40;140,70;0,086;;0,017;0,035;;1680;1680;"Neutre 0";11900;55650
FIAT;PANDA;PANDA;STELLANTIS;"PANDA 1.0 BSG (70ch)";"ESS+ELEC HNR";BERLINE;999;INFERIEURE;4;51,500;1,370;1002;0,05;MECANIQUE;6;5,629;5,839;4,814;5,199;4,312;4,815;5,410;6,257;4,979;5,541;;;;;;;128,48;133,12;109,81;118,47;98,31;109,68;123,47;142,71;113,60;126,31;0,281;0,031;0,048;;;1077;1077;"Neutre 0";11900;12990
B.M.W.;"SERIE 4";420;AUTRES;"420i Coupe";ESSENCE;COUPE;1998;"MOYENNE SUPERIEURE";10;135,000;;1525;0,09;AUTOMATIQUE;8;8,764;9,768;6,417;7,301;5,366;6,357;5,926;6,914;6,231;7,201;;;;;;;199,56;222,14;146,04;165,88;122,05;144,35;134,84;157,04;141,80;163,60;0,355;0,027;0,014;;;1600;1600;Malus;983;53100
RENAULT;TRAFIC;TRAFIC;RENAULT;"TRAFIC (149ch)";GAZOLE;MINIBUS;1997;"MOYENNE SUPERIEURE";8;110,000;;2006;0,05;AUTOMATIQUE;6;8,803;9,145;6,712;7,612;5,896;6,832;7,281;8,416;6,941;7,861;;;;;;;231,13;240,11;176,21;199,85;154,79;179,36;191,15;220,97;182,22;206,39;0,017;;0,033;0,040;;2081;2081;Malus;15362;45500
B.M.W.;M4;M4;AUTRES;"M4 Competition CoupÃ©";ESSENCE;COUPE;2993;LUXE;41;375,000;;1725;0,22;AUTOMATIQUE;8;14,903;15,200;9,763;9,915;8,194;8,412;8,836;9,049;9,635;9,848;;;;;;;338,94;345,85;221,92;225,53;186,20;191,31;200,81;205,80;219,00;224,00;0,206;0,013;0,017;;;1800;1800;Malus;39964;104550
MERCEDES;"CLASSE EQA";"EQA 250";AUTRES;"EQA 250+";ELECTRIC;"TS TERRAINS/CHEMINS";0;"MOYENNE SUPERIEURE";7;;95,000;1970;0,00;"VARIATION ELECTRIQUE";0;;;;;;;;;;;146,000;196,000;551,000;409,000;696,600;530,300;;;;;;;;;;;;;;;;2045;2045;"Neutre 0";-6000;64700
MINI;MINI;CABRIO;B.M.W.;"MINI Cooper S Cabrio (F57)";ESSENCE;CABRIOLET;1998;INFERIEURE;9;131,000;;1305;0,10;MECANIQUE;6;8,644;9,095;5,961;6,599;5,380;6,090;5,971;7,059;6,143;6,937;;;;;;;196,46;206,62;135,36;149,79;122,14;138,21;135,59;160,27;139,50;157,50;0,252;0,016;0,013;;;1380;1380;Malus;818;37567
MINI;MINI;MINI;B.M.W.;"MINI Cooper Hatch 3P (F56)";ESSENCE;BERLINE;1499;INFERIEURE;7;100,000;;1175;0,09;AUTOMATIQUE;7;7,726;8,231;5,369;6,121;4,581;5,517;5,361;6,685;5,437;6,416;;;;;;;175,61;187,03;121,95;138,99;104,02;125,23;121,76;151,83;123,50;145,70;0,200;0,019;0,010;;0,001;1250;1250;Malus;100;33300
SKODA;KAROQ;KAROQ;VGF;"Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Style clB avec Full LED et alt 140A famA";ESSENCE;"TS TERRAINS/CHEMINS";1498;"MOYENNE SUPERIEURE";8;110,000;;1342;0,08;AUTOMATIQUE;7;7,801;8,322;5,635;6,226;4,817;5,475;5,568;6,621;5,647;6,414;;;;;;;177,45;189,24;128,11;141,53;109,48;124,43;126,60;150,52;128,40;145,80;0,132;0,023;0,025;;;1417;1417;Malus;540;37898
B.M.W.;"SERIE X";X1;AUTRES;"X1 xDrive23d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";1995;"MOYENNE SUPERIEURE";11;145,000;10,500;1690;0,09;AUTOMATIQUE;7;6,667;7,400;4,332;5,143;3,934;4,705;4,795;5,702;4,684;5,507;;;;;;;174,96;194,21;113,64;134,96;103,21;123,45;125,80;149,62;122,90;144,50;0,037;;0,030;0,036;0,001;1765;1765;Malus;11906;49617
B.M.W.;"SERIE 1";118;AUTRES;118i;ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";7;100,000;;1320;0,08;AUTOMATIQUE;7;8,092;8,676;5,516;6,400;4,693;5,896;5,435;7,138;5,577;6,809;;;;;;;184,61;197,89;125,72;145,84;106,89;134,31;123,87;162,71;127,10;155,20;0,273;0,023;0,015;;;1395;1395;Malus;190;37510
RENAULT;ESPACE;ESPACE;RENAULT;"ESPACE (189ch)";GAZOLE;MONOSPACE;1997;SUPERIEURE;10;139,000;;1848;0,08;AUTOMATIQUE;6;7,637;7,910;6,049;6,500;5,242;5,815;6,269;6,805;6,090;6,585;;;;;;;200,66;207,84;158,93;170,77;137,71;152,77;164,72;178,78;160,00;173,00;0,014;;0,021;0,029;;1923;1923;Malus;5014;57550
KIA;CEED;CEED;HYUNDAI;"CEED SW 1.6 Diesel CRDi (136ch) ISG MHEV DCT7";"GAZ+ELEC HNR";BREAK;1598;"MOYENNE INFERIEURE";7;100,000;5,700;1407;0,07;AUTOMATIQUE;7;5,309;5,658;4,380;4,807;3,930;4,333;4,756;5,234;4,498;4,926;;;;;;;139,07;148,22;114,69;125,87;102,89;113,45;124,55;137,09;117,80;129,00;0,108;;0,009;0,047;;1482;1482;"Neutre 0";11900;34316
VOLVO;XC60;XC60;GEELY;"XC60 B4 Diesel FWD BVA8 (190ch)";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";1969;SUPERIEURE;11;145,000;8,000;1837;0,08;AUTOMATIQUE;8;6,984;7,564;6,150;6,864;5,274;5,885;6,067;7,054;5,962;6,723;;;;;;;182,83;198,06;160,93;179,70;137,96;154,01;158,76;184,67;156,00;176,00;0,246;;0,031;0,059;;1912;1912;Malus;13058;63730
FIAT;500;500;STELLANTIS;"500 Hybrid 1.0 BSG (70ch)";"ESS+ELEC HNR";BERLINE;999;ECONOMIQUE;4;51,500;1,370;999;0,05;MECANIQUE;6;5,548;5,128;4,466;4,780;3,999;4,586;5,018;6,161;4,662;5,256;;;;;;;126,23;116,56;101,53;108,63;90,86;104,18;114,13;140,16;106,00;119,50;0,300;0,028;0,022;;;1074;1074;"Neutre 0";11900;19150
OPEL;CORSA;CORSA;STELLANTIS;"CORSA-E (57Kw)";ELECTRIC;BERLINE;0;INFERIEURE;4;;57,000;1455;0,00;"VARIATION ELECTRIQUE";1;;;;;;;;;;;152,200;172,500;362,000;331,000;491,000;445,600;;;;;;;;;;;;;;;;1530;1530;"Bonus 6000";-6000;37600
VOLKSWAGEN;T-ROC;T-ROC;VGF;"T-ROC 1.5 TSI (150ch) Traction SUV DSG7 pn de 16'' Ã  19''";ESSENCE;"TS TERRAINS/CHEMINS";1498;INFERIEURE;8;110,000;;1283;0,09;AUTOMATIQUE;7;8,111;8,589;6,191;6,849;5,505;6,176;6,632;7,550;6,392;7,122;;;;;;;183,06;193,85;139,68;154,53;124,15;139,32;149,63;170,38;144,20;160,70;0,126;0,014;0,010;;;1358;1358;Malus;540;36985
B.M.W.;"SERIE 5";540;AUTRES;"540d xDrive Touring";"GAZ+ELEC HNR";BREAK;2993;LUXE;22;250,000;;1925;0,13;AUTOMATIQUE;8;8,515;9,766;5,957;6,570;5,038;5,708;5,414;6,354;5,822;6,653;;;;;;;223,00;255,80;155,94;172,02;131,86;149,43;141,72;166,36;152,40;174,20;0,110;;0,038;0,065;;2000;2000;Malus;13933;77588
"ALFA ROMEO";STELVIO;STELVIO;STELLANTIS;"STELVIO 2.2 Diesel (160ch) AT8";GAZOLE;"TS TERRAINS/CHEMINS";2143;SUPERIEURE;8;118,000;;1680;0,07;AUTOMATIQUE;8;7,259;7,900;5,436;6,144;4,783;5,140;5,699;6,333;5,571;6,219;;;;;;;190,28;207,08;142,46;161,04;125,34;141,79;149,37;166,00;146,00;163,00;0,044;;0,035;0,040;;1755;1755;Malus;1901;52783
VOLKSWAGEN;T-ROC;T-ROC;VGF;"T-ROC CABRIOLET 1.0 TSI (110ch) Traction Cab BVM6 pn de 17'' Ã  19''";ESSENCE;CABRIOLET;999;INFERIEURE;6;81,000;;1421;0,06;MECANIQUE;6;7,637;8,388;5,845;6,744;5,037;6,054;5,938;7,374;5,868;6,974;;;;;;;173,44;190,46;132,69;153,08;114,31;137,38;134,79;167,40;133,20;158,30;0,158;0,018;0,031;;;1496;1496;Malus;360;37205
MINI;MINI;MINI;B.M.W.;"MINI Cooper Hatch 3P (F56)";ESSENCE;BERLINE;1499;INFERIEURE;7;100,000;;1175;0,09;AUTOMATIQUE;7;7,726;8,231;5,369;6,121;4,581;5,517;5,361;6,685;5,437;6,416;;;;;;;175,61;187,03;121,95;138,99;104,02;125,23;121,76;151,83;123,50;145,70;0,200;0,019;0,010;;0,001;1250;1250;Malus;100;32367
FORD;FIESTA;FIESTA;FORD;"FIESTA 1.0 Flexifuel (95ch) S&S BVM6";SUPERETHANOL;BERLINE;999;INFERIEURE;5;69,900;;1114;0,06;MECANIQUE;6;8,870;10,145;6,612;7,847;6,035;7,363;7,505;8,962;7,052;8,399;;;;;;;145,35;166,21;108,30;128,48;98,82;120,55;122,96;146,78;115,51;137,55;0,393;0,036;0,010;;;1189;1307;"Neutre 0";;23090
RENAULT;MEGANE;MEGANE;RENAULT;"MEGANE Estate (115ch)";GAZOLE;BREAK;1461;"MOYENNE INFERIEURE";6;85,000;;1400;0,06;AUTOMATIQUE;7;5,748;5,976;4,473;4,908;3,974;4,399;4,769;5,246;4,594;5,013;;;;;;;150,46;156,43;117,00;128,41;103,91;115,05;124,75;137,28;120,17;131,17;0,151;;0,026;0,072;;1475;1475;"Neutre 0";;34775
